Quantity,UnitPrice,TotalPrice,InvoiceHour,InvoiceDay,WillBuyNextMonth
78,2.9195,188.89000000000001,16.0,25.0,0
220,3.2078571428571427,410.7,12.0,15.0,0
102,2.111304347826087,157.16,12.0,8.0,0
156,2.9499999999999997,442.2,14.0,22.0,1
118,3.8468831168831166,396.83,14.0,7.0,0
144,2.279166666666667,310.8,12.0,5.0,0
460,3.3936363636363636,1048.76,10.0,19.0,0
253,2.854444444444445,389.87,13.0,1.0,0
25,2.08,52.0,16.0,21.0,0
810,3.031578947368421,1346.98,10.210526315789474,18.666666666666668,1
165,3.635294117647059,396.81,15.0,4.0,0
170,2.1668,342.15000000000003,11.0,14.0,1
339,2.3577272727272724,424.2,13.0,23.0,0
112,3.091666666666667,200.20000000000002,13.0,24.0,1
136,2.1226,194.95000000000002,13.0,7.0,0
141,4.895263157894737,410.71000000000004,9.0,4.0,0
431,3.9085714285714284,440.99,13.0,27.0,0
293,1.638421052631579,301.15000000000003,12.0,9.0,0
511,3.0206250000000003,1100.95,14.5,10.083333333333334,1
249,3.2723684210526316,582.59,16.63157894736842,15.171052631578947,1
619,0.335,128.82,10.416666666666666,2.0833333333333335,1
528,2.717752808988764,651.88,14.842696629213483,4.617977528089888,0
133,4.211600000000001,389.43,15.0,7.0,0
315,2.987878787878788,644.25,14.0,2.0,1
346,4.299375,1304.04,9.0,14.0,0
287,2.8723076923076927,637.0699999999999,13.23076923076923,25.23076923076923,1
225,1.5705263157894738,258.51,11.0,5.0,0
11,7.574999999999999,75.45,9.0,18.0,0
94,2.5412,127.38,13.0,6.0,0
143,3.137857142857143,192.39,10.0,25.0,0
75,3.9176470588235293,279.75,14.0,25.0,0
60,1.6125,95.5,16.0,25.0,0
2310,2.6213793103448273,4028.18,12.155172413793103,10.568965517241379,1
201,3.044166666666667,453.69,14.0,27.0,0
397,2.7330434782608695,690.3399999999999,11.0,14.0,1
201,1.5948,132.97,12.0,1.0,0
198,1.9511111111111115,306.54,16.0,3.0,0
212,1.8175000000000001,267.32,11.0,27.0,1
193,2.503409090909091,458.4,13.0,3.0,1
84,2.461111111111111,153.2,9.0,16.0,0
80,4.15,254.4,12.0,2.0,0
165,2.6409302325581394,317.0,17.0,18.0,1
58,2.8925,155.45,16.0,25.0,1
125,3.5462499999999997,267.23,11.0,25.0,0
1028,2.7995945945945944,1289.4,13.64864864864865,19.45945945945946,1
394,2.544722222222222,642.2,15.0,14.333333333333334,0
353,0.905,301.99,12.0,5.0,0
60,1.95,117.0,8.0,15.0,0
252,1.3109090909090908,326.04,16.0,17.0,0
213,3.457857142857143,580.53,11.428571428571429,8.857142857142858,0
310,3.521578947368421,705.56,11.0,10.0,1
92,2.2714285714285714,176.1,15.0,3.0,0
136,3.398064516129032,398.11,12.0,20.0,0
144,2.1,302.40000000000003,12.0,18.0,0
116,2.875,301.79999999999995,12.0,24.0,0
22,5.97,149.1,10.0,9.0,1
726,3.3756060606060605,866.97,13.0,20.0,0
117,2.462857142857143,269.48,11.0,6.0,0
19,9.035,144.53,11.0,16.0,0
135,2.52,217.43,15.0,15.0,0
445,0.5135714285714286,187.01999999999998,14.0,24.0,0
1214,2.0507142857142857,1583.06,10.928571428571429,16.0,1
131,2.8742857142857146,171.81,13.0,17.0,0
327,2.2,561.4,11.0,14.0,0
341,4.46235294117647,370.25,13.0,7.0,0
280,3.6096874999999997,476.8,19.0,21.0,0
204,3.1558823529411764,561.5,13.0,19.0,1
24,34.95,838.8000000000001,12.0,2.0,0
96,3.035,304.76,14.0,8.0,1
